"filename", "language", "JavaScript JSX", "PostCSS", "XML", "JavaScript", "JSON", "HTML", "Markdown", "comment", "blank", "total"
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/profile/pattern-list/Patterns.css", "PostCSS", 0, 41, 0, 0, 0, 0, 0, 1, 7, 49
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/profile/profile-assets/pen-square-svgrepo-com.svg", "XML", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/profile/profile-assets/sweater-svgrepo-com.svg", "XML", 0, 0, 44, 0, 0, 0, 0, 1, 0, 45
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/profile/profile-children/ProfilePage.jsx", "JavaScript JSX", 48, 0, 0, 0, 0, 0, 0, 0, 6, 54
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/profile/profile-children/profile-page-children/Measurement.jsx", "JavaScript JSX", 41, 0, 0, 0, 0, 0, 0, 0, 6, 47
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/components/profile/profile-children/profile-page-children/UserData.jsx", "JavaScript JSX", 69, 0, 0, 0, 0, 0, 0, 0, 6, 75
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/contexts/FinalJumperDataContext.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/contexts/SignedInUserContext.jsx", "JavaScript JSX", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/index.css", "PostCSS", 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/main.jsx", "JavaScript JSX", 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/services-and-util-functions/auth-services.js", "JavaScript", 0, 0, 0, 35, 0, 0, 0, 0, 10, 45
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/services-and-util-functions/user-services.js", "JavaScript", 0, 0, 0, 38, 0, 0, 0, 0, 9, 47
"/Users/clairecastanet/personal-projects/raglan_generator_vite/src/services-and-util-functions/utils.js", "JavaScript", 0, 0, 0, 73, 0, 0, 0, 0, 11, 84
"/Users/clairecastanet/personal-projects/raglan_generator_vite/vite.config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 1, 2, 16
"Total", "-", 1394, 524, 59, 233, 2992, 13, 7, 9, 352, 5583
